JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460824.500000000, A.D. 2025-May-29 00:00:00.0000, -2.467399604214645E+08,  2.334392931418949E+07,  6.539878240394926E+06, -1.377572261635191E+00, -2.205062557186225E+01, -4.283236779091988E-01,
2460825.500000000, A.D. 2025-May-30 00:00:00.0000, -2.468509592247771E+08,  2.143801700355109E+07,  6.502658850502283E+06, -1.191807044767480E+00, -2.206747797978911E+01, -4.332322517318428E-01,
2460826.500000000, A.D. 2025-May-31 00:00:00.0000, -2.469458983465144E+08,  1.953071010221739E+07,  6.465016412372889E+06, -1.005821850394525E+00, -2.208290724067242E+01, -4.381163928237886E-01,
2460827.500000000, A.D. 2025-Jun-01 00:00:00.0000, -2.470247591517321E+08,  1.762213169946489E+07,  6.426953048197227E+06, -8.196252825216533E-01, -2.209691039501345E+01, -4.429758393193719E-01,
2460828.500000000, A.D. 2025-Jun-02 00:00:00.0000, -2.470875237525585E+08,  1.571240514032577E+07,  6.388470903888972E+06, -6.332259924835977E-01, -2.210948448188750E+01, -4.478103233907680E-01,
2460829.500000000, A.D. 2025-Jun-03 00:00:00.0000, -2.471341750114314E+08,  1.380165402456865E+07,  6.349572149129449E+06, -4.466326891690989E-01, -2.212062654395660E+01, -4.526195664973365E-01,
2460830.500000000, A.D. 2025-Jun-04 00:00:00.0000, -2.471646965445060E+08,  1.189000220540259E+07,  6.310258977441888E+06, -2.598541308398529E-01, -2.213033363781376E+01, -4.574032839170972E-01,
2460831.500000000, A.D. 2025-Jun-05 00:00:00.0000, -2.471790727252423E+08,  9.977573788112652E+06,  6.270533606318386E+06, -7.289911505928257E-02, -2.213860284815825E+01, -4.621611907948644E-01,
2460832.500000000, A.D. 2025-Jun-06 00:00:00.0000, -2.471772886879840E+08,  8.064493128771856E+06,  6.230398277331254E+06,  1.142235252388076E-01, -2.214543129624228E+01, -4.668930053091795E-01,
2460833.500000000, A.D. 2025-Jun-07 00:00:00.0000, -2.471593303313732E+08,  6.150884832932146E+06,  6.189855256154361E+06,  3.015049250021120E-01, -2.215081612964389E+01, -4.715984504185364E-01,
2460834.500000000, A.D. 2025-Jun-08 00:00:00.0000, -2.471251843216907E+08,  4.236873754155327E+06,  6.148906832528593E+06,  4.889361891291807E-01, -2.215475449833507E+01, -4.762772535821505E-01,
2460835.500000000, A.D. 2025-Jun-09 00:00:00.0000, -2.470748380963571E+08,  2.322584992447370E+06,  6.107555320283393E+06,  6.765083861689093E-01, -2.215724354499107E+01, -4.809291425596047E-01,
2460836.500000000, A.D. 2025-Jun-10 00:00:00.0000, -2.470082798676385E+08,  4.081438927552924E+05,  6.065803057447935E+06,  8.642125371949260E-01, -2.215828042087415E+01, -4.855538405626323E-01,
2460837.500000000, A.D. 2025-Jun-11 00:00:00.0000, -2.469254986263581E+08, -1.506323956439624E+06,  6.023652406362413E+06,  1.052039607652484E+00, -2.215786230425683E+01, -4.901510636995976E-01,
